#单改或加
然后	r
他们	t
她们	t
眼睛	o
安全	a
存在	c
发现	f
难道	n
#二简加
恰恰	qq
千万	qw
全额	qe
情人	qr
趋于	qy
青春	qi
情绪	qo
欺骗	qp
亲爱	qa
轻松	qs
确定	qd
缺乏	qf
奇怪	qg
恰好	qh
期间	qj
情况	qk
强烈	ql
亲自	qz
庆幸	qx
其次	qc
其中	qv
全部	qb
全能	qn
前面	qm

完全	wq
玩儿	we
温柔	wr
唯一	wy
完成	wi
哇哦	wo
网盘	wp
晚安	wa
猥琐	ws
晚饭	wf
武功	wg
网红	wh
忘记	wj
唯恐	wk
文字	wz
为此	wc
为止	wv
五笔	wb
无奈	wn

额外	ew
恶人	er
儿童	et
二十	eu
恶臭	ei
偶尔	eo
恶评	ep
耳畔	ep
恩爱	ea
饿死	es
恶毒	ed
而非	ef
恶搞	eg
恶化	eh
噩耗	eh
恶劣	el
儿子	ez
恶心	ex
恩赐	ec
而不	eb
儿女	en
噩梦	em

日期	rq
认为	rw
然而	re
仍然	rr
认同	rt
认识	ru
日常	ri
如果	ro
人品	rp
热爱	ra
热搜	rs
认得	rd
染发	rf
如果	rg
任何	rh
仍旧	rj
认可	rk
人类	rl
日子	rz
热心	rx
如此	rc
认真	rv
日本	rb
热闹	rn

台湾	tw
天鹅	te
突然	tr
同意	ty
同时	tu
痛斥	ti
脱欧	to
图片	tp
图案	ta
探索	ts
推倒	td
头发	tf
推广	tg
挺好	th
推荐	tj
痛苦	tk
讨论	tl
投资	tz
天才	tc
体制	tv
特别	tb
太难	tn

以为	yw
余额	ye
依然	yr
一天	yt
意识	yu
愚蠢	yi
拥有	yo
一片	yp
延安	ya
意思	ys
一定	yd
缘分	yf
以后	yh
已经	yj
有空	yk
原来	yl
椅子	yz
一次	yc
一年	yn
郁闷	ym

事情	uq
食物	uw
事儿	ue
输入	ur
身体	ut
誓言	uy
试吃	ui
沙鸥	uo
视频	up
谁啊	ua
神色	us
时代	ud
束缚	uf
时光	ug
书刊	uk
试炼	ul
守则	uz
上次	uc
甚至	uv
顺便	ub
少年	un
上面	um

出去	iq
成为	iw
嫦娥	ie
承认	ir
传统	it
重演	iy
常识	iu
尝尝	ii
吃藕	io
产品	ip
长安	ia
橙色	is
程度	id
臣服	if
成果	ig
撤回	ih
处境	ij
查看	ik
沉沦	il
创造	iz
炒菜	ic
趁着	iv
成本	ib
承诺	in
沉默	im

脾气	pq
排位	pw
普洱	pe
骗人	pr
普通	pt
拼音	py
平时	pu
π	pi
配偶	po
平安	pa
婆娑	ps
平等	pd
皮肤	pf
屁股	pg
配合	ph
评价	pj
贫困	pk
漂亮	pl
胖子	pz
培训	px
噗呲	pc
旁边	pb
陪你	pn
屏幕	pm

爱情	aq
安慰	aw
挨饿	ae
爱人	ar
哀叹	at
阿姨	ay
按时	au
AI	ai
阿欧	ao
安排	ap
暗暗	aa
暗算	as
安定	ad
安分	af
昂贵	ag
爱好	ah
安静	aj
拗口	ak
按理	al
暗自	az
爱惜	ax
按错	ac
安装	av
安保	ab
andorid	an
傲慢	am

索取	sq
所谓	sw
赛尔	se
虽然	sr
洒脱	st
所有	sy
诉说	su
四川	si
丧偶	so
碎片	sp
骚啊	sa
搜索	ss
速度	sd
沙发	sf
三国	sg
似乎	sh
算计	sj
思考	sk
算了	sl
素质	sz
思想	sx
素材	sc
随着	sv
随便	sb
思念	sn

丢弃	dq
大王	dw
戴尔	de
丢人	dr
读书	du
dict	di
东欧	do
打破	dp
答案	da
打算	ds
得到	dd
地方	df
大概	dg
都会	dh
.jpg	dj
丁克	dk
到了	dl
电子	dz
代餐	dc
导致	dv
代表	db
电脑	dn
多么	dm

放弃	fq
废物	fw
反而	fe
否认	fr
繁体	ft
反应	fy
复生	fu
烦哦	fo
分配	fp
放松	fs
反对	fd
纷纷	ff
分割	fg
符合	fh
附件	fj
反馈	fk
疯了	fl
否则	fz
讽刺	fc
反正	fv
方便	fb
烦恼	fn
方面	fm

过去	gq
给我	gw
高二	ge
果然	gr
沟通	gt
关于	gy
故事	gu
过程	gi
干呕	go
公平	gp
高傲	ga
公司	gs
古代	gd
官方	gf
刚刚	gg
刚好	gh
高考	gk
过来	gl
工作	gz
刚才	gc
跟着	gv
根本	gb
功能	gn
干嘛	gm

回去	hq
悔悟	hw
好饿	he
坏人	hr
后天	ht
回忆	hy
还是	hu
好处	hi
海鸥	ho
害怕	hp
黑暗	ha
红色	hs
好多	hd
回复	hf
火锅	hg
哈哈	hh
回家	hj
好看	hk
回来	hl
孩子	hz
好吃	hc
或者	hv
何必	hb
还能	hn
后面	hm

极其	jq
几位	jw
金额	je
居然	jr
教育	jy
介绍	ju
经常	ji
奇偶	jo
极品	jp
骄傲	ja
计算	js
解放	jf
几乎	jh
仅仅	jj
健康	jk
结论	jl
精彩	jc
简直	jv
即便	jb
今年	jn
结盟	jm

况且	kq
渴望	kw
科二	ke
客人	kr
开头	kt
刻意	ky
可是	ku
课程	ki
KO	ko
恐怕	kp
可爱	ka
克服	kf
客观	kg
困惑	kh
困境	kj
快乐	kl
馈赠	kz
开心	kx
库存	kc
看着	kv
恐怖	kb
可能	kn
昆明	km

篮球	lq
礼物	lw
灵儿	le
老人	lr
聊天	lt
理由	ly
烈士	lu
凌晨	li
莲藕	lo
老婆	lp
恋爱	la
劣势	ls
领导	ld
浪费	lf
老公	lg
厉害	lh
离开	lk
力量	ll
老子	lz
联系	lx
两次	lc
留着	lv
老板	lb
两年	ln
里面	lm

暂且	zq
作为	zw
罪恶	ze
自然	zr
昨天	zt
资源	zy
早上	zu
坐车	zi
作呕	zo
作品	zp
早安	za
总算	zs
做饭	zf
自个	zg
最后	zh
再见	zj
最快	zk
走了	zl
政治	zz
总裁	zc
这种	zv
咋不	zb
怎能	zn

心情	xq
希望	xw
邪恶	xe
吓人	xr
